Image Path,Class
./2750/Forest/Forest_380.jpg,Forest
./2750/Forest/Forest_2869.jpg,Forest
./2750/River/River_1077.jpg,River
./2750/River/River_1984.jpg,River
./2750/Highway/Highway_2422.jpg,Highway
./2750/Highway/Highway_413.jpg,Highway
./2750/AnnualCrop/AnnualCrop_936.jpg,AnnualCrop
./2750/AnnualCrop/AnnualCrop_2055.jpg,AnnualCrop
./2750/SeaLake/SeaLake_1090.jpg,SeaLake
./2750/SeaLake/SeaLake_504.jpg,SeaLake
./2750/HerbaceousVegetation/HerbaceousVegetation_2927.jpg,HerbaceousVegetation
./2750/HerbaceousVegetation/HerbaceousVegetation_491.jpg,HerbaceousVegetation
./2750/Industrial/Industrial_1374.jpg,Industrial
./2750/Industrial/Industrial_1099.jpg,Industrial
./2750/Residential/Residential_843.jpg,Residential
./2750/Residential/Residential_2132.jpg,Residential
./2750/PermanentCrop/PermanentCrop_2385.jpg,PermanentCrop
./2750/PermanentCrop/PermanentCrop_1726.jpg,PermanentCrop
./2750/Pasture/Pasture_1769.jpg,Pasture
./2750/Pasture/Pasture_1579.jpg,Pasture
