Image Path,Class
./2750/Forest/Forest_1407.jpg,Forest
./2750/Forest/Forest_1628.jpg,Forest
./2750/Forest/Forest_2828.jpg,Forest
./2750/Forest/Forest_2254.jpg,Forest
./2750/River/River_1796.jpg,River
./2750/River/River_2285.jpg,River
./2750/River/River_156.jpg,River
./2750/River/River_1809.jpg,River
./2750/Highway/Highway_559.jpg,Highway
./2750/Highway/Highway_1545.jpg,Highway
./2750/Highway/Highway_1073.jpg,Highway
./2750/Highway/Highway_148.jpg,Highway
./2750/AnnualCrop/AnnualCrop_2954.jpg,AnnualCrop
./2750/AnnualCrop/AnnualCrop_1213.jpg,AnnualCrop
./2750/AnnualCrop/AnnualCrop_2818.jpg,AnnualCrop
./2750/AnnualCrop/AnnualCrop_953.jpg,AnnualCrop
./2750/SeaLake/SeaLake_53.jpg,SeaLake
./2750/SeaLake/SeaLake_1804.jpg,SeaLake
./2750/SeaLake/SeaLake_1752.jpg,SeaLake
./2750/SeaLake/SeaLake_2560.jpg,SeaLake
./2750/HerbaceousVegetation/HerbaceousVegetation_1979.jpg,HerbaceousVegetation
./2750/HerbaceousVegetation/HerbaceousVegetation_1487.jpg,HerbaceousVegetation
./2750/HerbaceousVegetation/HerbaceousVegetation_56.jpg,HerbaceousVegetation
./2750/HerbaceousVegetation/HerbaceousVegetation_2877.jpg,HerbaceousVegetation
./2750/Industrial/Industrial_2245.jpg,Industrial
./2750/Industrial/Industrial_2146.jpg,Industrial
./2750/Industrial/Industrial_779.jpg,Industrial
./2750/Industrial/Industrial_919.jpg,Industrial
./2750/Residential/Residential_244.jpg,Residential
./2750/Residential/Residential_1622.jpg,Residential
./2750/Residential/Residential_2075.jpg,Residential
./2750/Residential/Residential_1320.jpg,Residential
./2750/PermanentCrop/PermanentCrop_2157.jpg,PermanentCrop
./2750/PermanentCrop/PermanentCrop_1577.jpg,PermanentCrop
./2750/PermanentCrop/PermanentCrop_65.jpg,PermanentCrop
./2750/PermanentCrop/PermanentCrop_1769.jpg,PermanentCrop
./2750/Pasture/Pasture_981.jpg,Pasture
./2750/Pasture/Pasture_1487.jpg,Pasture
./2750/Pasture/Pasture_1486.jpg,Pasture
./2750/Pasture/Pasture_1124.jpg,Pasture
